"idcompras";"nome";"id_mercado";"valor_unitario";"data_compra"
1;"Óleo de soja Leve";1;8.49;"2023-01-21"
2;"Banana Dágua KG";1;4.99;"2023-01-17"
3;"Leite Itambém Azul 395 ml";1;9.98;"2023-01-22"
4;"Massa Aldente Piraquê";1;5.49;"2023-01-20"
5;"Iogurte LIMP";1;12.99;"2023-01-17"
6;"Açucar União 1kg";1;4.99;"2023-01-20"
7;"Bisnaguinha PANCO";1;9.29;"2023-01-20"
8;"Creme dental Sorriso";1;5.79;"2023-01-17"
9;"Cream Cracker Piraquê";2;5.25;"2023-01-18"
10;"Café Pilão";2;17.99;"2023-01-18"
15;"Creme de Leite Glória 200G";4;3.69;"2023-01-19"
16;"Leite Condensado Glória 395G";4;5.99;"2023-01-19"
17;"molho de tomate tradicional 300g";4;1.99;"2023-01-19"
18;"biscoito cream cracker piraquê 200g";4;5.19;"2023-01-19"
19;"catchup predilecta 400g";4;6.99;"2023-01-19"
20;"biscoito maizena piraquê 200g";4;3.99;"2023-01-19"
21;"alho ";4;16.99;"2023-01-21"
23;"feijão preto mais sabor";4;5.99;"2023-01-19"
24;"feijão combrasil";4;10.99;"2023-01-19"
25;"sal cisne";4;4.29;"2023-01-19"
29;"Abobrinha";4;5.99;"2023-01-20"
30;"White lub WD-40 SPRAY 300 ML/210 GR Original";4;45.99;"2023-01-20"
31;"Del Valle Fresh LAranja Refrigerante PET 2L";4;4.99;"2023-01-20"
32;"Coca Cola Retornável 2L";4;6.39;"2023-01-20"
33;"Molho de Tomate Predilecta Tradicional 300G";4;1.99;"2023-01-20"
34;"sorvete sodel açai morango 2L";4;35.99;"2023-01-20"
35;"geléia de mocotó natural predilecta 180G";4;5.99;"2023-01-20"
36;"Goiabada ETTI 500G";4;8.99;"2023-01-20"
37;"Coca Cola Retornável";4;6.39;"2023-01-22"
38;"Coca cola Retornável 2L";4;6.39;"2023-01-22"
41;"Fanta Laranja 2L";4;5.59;"2023-01-22"
42;"Empadão";4;27.99;"2023-01-22"
43;"Biscoito Cream Cracker Richester 200G";4;3.79;"2023-01-22"
44;"Pizza da Casa 0.590 kg";4;31.0;"2023-01-22"
45;"Banana Prata KG 1.165";4;8.99;"2023-01-22"
